ItemID,samID,DataID,N_RivID,N_SiteID,N_samID,Continent,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume
I001,I001_S001,D001,NR001,S001,NR001_S001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S002,D001,NR001,S002,NR001_S002,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S003,D001,NR001,S003,NR001_S003,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S004,D001,NR001,S004,NR001_S004,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S005,D001,NR001,S005,NR001_S005,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S006,D001,NR001,S006,NR001_S006,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S007,D001,NR001,S007,NR001_S007,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S008,D001,NR001,S008,NR001_S008,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S009,D001,NR001,S009,NR001_S009,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S010,D001,NR001,S010,NR001_S010,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S011,D001,NR001,S011,NR001_S011,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S012,D001,NR001,S012,NR001_S012,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S013,D001,NR001,S013,NR001_S013,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S014,D001,NR001,S014,NR001_S014,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S015,D001,NR001,S015,NR001_S015,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S016,D001,NR001,S016,NR001_S016,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S017,D001,NR001,S017,NR001_S017,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S018,D001,NR001,S018,NR001_S018,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S019,D001,NR001,S019,NR001_S019,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S020,D001,NR001,S020,NR001_S020,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S021,D001,NR001,S021,NR001_S021,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S022,D001,NR001,S022,NR001_S022,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S023,D001,NR001,S023,NR001_S023,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S024,D001,NR001,S024,NR001_S024,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S025,D001,NR001,S025,NR001_S025,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S026,D001,NR001,S026,NR001_S026,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S027,D001,NR001,S027,NR001_S027,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S028,D001,NR001,S028,NR001_S028,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S029,D001,NR001,S029,NR001_S029,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S030,D001,NR001,S030,NR001_S030,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S031,D001,NR001,S031,NR001_S031,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S032,D001,NR001,S032,NR001_S032,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S033,D001,NR001,S033,NR001_S033,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S034,D001,NR001,S034,NR001_S034,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S035,D001,NR001,S035,NR001_S035,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S036,D001,NR001,S036,NR001_S036,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S037,D001,NR001,S037,NR001_S037,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S038,D001,NR001,S038,NR001_S038,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S039,D001,NR001,S039,NR001_S039,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S040,D001,NR001,S040,NR001_S040,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S041,D001,NR001,S041,NR001_S041,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S042,D001,NR001,S042,NR001_S042,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I001,I001_S043,D001,NR001,S043,NR001_S043,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S001,D001,NR002,S001,NR002_S001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S002,D001,NR002,S002,NR002_S002,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S003,D001,NR002,S003,NR002_S003,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S004,D001,NR002,S004,NR002_S004,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S005,D001,NR002,S005,NR002_S005,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S006,D001,NR002,S006,NR002_S006,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S007,D001,NR002,S007,NR002_S007,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S008,D001,NR002,S008,NR002_S008,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S009,D001,NR002,S009,NR002_S009,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S010,D001,NR002,S010,NR002_S010,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S011,D001,NR002,S011,NR002_S011,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S012,D001,NR002,S012,NR002_S012,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I002,I002_S013,D001,NR002,S013,NR002_S013,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I003,I003_S001,D001,NR003,S001,NR003_S001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
I003,I003_S002,D001,NR003,S002,NR003_S002,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75
